SEQ='P '     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  87181251.1    NPRNT= 6
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2 3P2             (3)1( 0.0)        0.0 
     2          3S2 3P2             (3)1( 1.0)      299.1 
     3          3S2 3P2             (3)1( 2.0)      855.7 
     4          3S2 3P2             (1)2( 2.0)    14486.5 
     5          3S2 3P2             (1)0( 0.0)    43550.0 
     6          3S1 3P3             (5)0( 2.0)    52344.0 

   PARENT CONFG INDEXING                BWNP=  87173173.9    NPRNT= 2
   ---------------------
   INDP         CODE                       WI        WNP
   ----         ----                 --------  ----------
     1          3S2 3P2             (     7.0)        0.0 
     2          3S1 3P3             (    19.5)    96766.0 

   IC AVERAGED CONFG INDEXING           BWNR=  87248893.3   NCFG=   6
   --------------------------
   INDX  INDP   CODE                       WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 --------  ----------      -----------
     1     1    3S2 3P2 4S1         (    14.5)        0.0      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     2     1    3S2 3P2 4P1         (    44.5)    18975.7      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     3     1    3S2 3P2 4D1         (    69.5)    39950.6      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     4     2    3S1 3P3 4S1         (     4.5)    43872.4      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     5     1    3S2 3P2 4F1         (    97.5)    45619.5      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
     6     2    3S1 3P3 4P1         (    14.5)    61600.2      0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00

   NL-SHELL INDEXING & AUGER RATES                     NLREP=203
   -------------------------------
   ILREP   N   L
     1   580   3     .067      67640.9  .933      76295.0
     1   700   3     .067      67641.3  .933      76295.5
     1   850   3     .067      67641.6  .933      76295.7
     1   999   3     .067      67641.7  .933      76295.9
     1     5   4     .933      55625.3  .067      93632.5
     1     6   4     .600      56022.3  .400      74777.4
     1     7   4     .600      59257.7  .400      78012.8
     1     8   4     .600      61357.6  .400      80112.8
     1     9   4     .600      62797.3  .400      81552.5
     1    10   4     .600      63827.1  .400      82582.4
     1    11   4     .600      64589.1  .400      83344.4
     1    12   4     .600      65168.6  .400      83923.9
     1    13   4     .600      65619.6  .400      84374.9
     1    14   4     .600      65977.5  .400      84732.8
     1    15   4     .600      66266.2  .400      85021.5
     1    16   4     .600      66502.4  .400      85257.8
     1    17   4     .600      66698.3  .400      85453.6
     1    18   4     .600      66862.4  .400      85617.7
     1    19   4     .600      67001.2  .400      85756.6
     1    20   4     .600      67119.8  .400      85875.1
     1    21   4     .600      67221.8  .400      85977.2
     1    22   4     .600      67310.3  .400      86065.6
     1    23   4     .267      67036.6  .733      77745.2
     1    24   4     .267      67104.3  .733      77812.9
     1    25   4     .267      67164.1  .733      77872.6
     1    32   4     .267      67437.8  .733      78146.3
     1    39   4     .067      67353.6  .933      76007.7
     1    47   4     .067      67443.5  .933      76097.6
     1    57   4     .067      67507.1  .933      76161.2
     1    70   4     .067      67552.6  .933      76206.8
     1    85   4     .067      67581.4  .933      76235.6
     1   100   4     .067      67598.3  .933      76252.5
     1   125   4     .067      67614.1  .933      76268.3
     1   150   4     .067      67622.7  .933      76276.8
     1   180   4     .067      67628.6  .933      76282.8
     1   220   4     .067      67633.1  .933      76287.3
     1   270   4     .067      67636.2  .933      76290.3
     1   330   4     .067      67638.1  .933      76292.3
     1   390   4     .067      67639.3  .933      76293.5
     1   480   4     .067      67640.3  .933      76294.4
     1   580   4     .067      67640.9  .933      76295.0
     1   700   4     .067      67641.3  .933      76295.5
     1   850   4     .067      67641.6  .933      76295.7
     1   999   4     .067      67641.7  .933      76295.9
     1     6   5     .600      56024.1  .400      74779.5
     1     7   5     .600      59259.0  .400      78014.4
     1     8   5     .600      61358.6  .400      80113.9
     1     9   5     .600      62798.1  .400      81553.4
     1    10   5     .600      63827.7  .400      82583.1
     1    11   5     .600      64589.5  .400      83344.9
     1    12   5     .600      65169.0  .400      83924.3
     1    13   5     .600      65619.9  .400      84375.3
     1    14   5     .600      65977.7  .400      84733.1
     1    15   5     .600      66266.4  .400      85021.7
     1    16   5     .600      66502.6  .400      85257.9
     1    17   5     .600      66698.4  .400      85453.7
     1    18   5     .600      66862.5  .400      85617.8
     1    19   5     .600      67001.3  .400      85756.7
     1    20   5     .600      67119.9  .400      85875.2
     1    21   5     .600      67221.9  .400      85977.3
     1    22   5     .600      67310.3  .400      86065.7
     1    23   5     .267      67036.7  .733      77745.2
     1    24   5     .267      67104.4  .733      77813.0
     1    25   5     .267      67164.1  .733      77872.7
     1    32   5     .267      67437.8  .733      78146.4
     1    39   5     .067      67353.6  .933      76007.8
     1    47   5     .067      67443.5  .933      76097.6
     1    57   5     .067      67507.1  .933      76161.2
     1    70   5     .067      67552.6  .933      76206.8
     1    85   5     .067      67581.4  .933      76235.6
     1   100   5     .067      67598.3  .933      76252.5
     1   125   5     .067      67614.1  .933      76268.3
     1   150   5     .067      67622.7  .933      76276.8
     1   180   5     .067      67628.6  .933      76282.8
     1   220   5     .067      67633.1  .933      76287.3
     1   270   5     .067      67636.2  .933      76290.3
     1   330   5     .067      67638.1  .933      76292.3
     1   390   5     .067      67639.3  .933      76293.5
     1   480   5     .067      67640.3  .933      76294.4
     1   580   5     .067      67640.9  .933      76295.0
     1   700   5     .067      67641.3  .933      76295.5
