SEQ='SI'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  63529903.3   NPRNTI= 5   NPRNTF= 5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2 3P1             (2)1( 0.5)        0.0 
     2          3S2 3P1             (2)1( 1.5)      276.8 
     3          3S1 3P2             (4)1( 0.5)    35412.3 
     4          3S1 3P2             (4)1( 1.5)    35509.5 
     5          3S1 3P2             (4)1( 2.5)    35669.3 

   IC RESOLVED LEVEL INDEXING           BWNR=  63523229.5   NLVL= 298
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
   228     2    3S2 3P1 7G1         (3)3( 2.0)    26246.7*     0.00E+00
   229     2    3S2 3P1 7G1         (3)3( 3.0)    26247.6*     0.00E+00
   230     2    3S2 3P1 4D1         (3)2( 2.0)    26260.8*     0.00E+00
   231     2    3S2 3P1 8P1         (1)0( 0.0)    26283.1*     0.00E+00
   232     2    3S2 3P1 4D1         (3)2( 3.0)    26327.6*     0.00E+00
   233     1    3S2 3P1 8F1         (3)4( 3.0)    26423.1*
   234     1    3S2 3P1 8F1         (3)2( 3.0)    26423.7*
   235     1    3S2 3P1 8F1         (3)4( 4.0)    26424.0*
   236     1    3S2 3P1 8F1         (1)2( 2.0)    26424.4*
   237     1    3S2 3P1 8H1         (1)4( 4.0)    26466.5*
   238     1    3S2 3P1 8H1         (3)4( 5.0)    26466.5*
   239     1    3S2 3P1 8I1         (1)5( 5.0)    26466.5*
   240     1    3S2 3P1 8I1         (3)5( 6.0)    26466.5*
   241     1    3S2 3P1 8I1         (3)7( 6.0)    26466.5*
   242     1    3S2 3P1 8I1         (3)7( 7.0)    26466.5*
   243     1    3S2 3P1 8H1         (3)6( 5.0)    26466.5*
   244     1    3S2 3P1 8H1         (3)6( 6.0)    26466.5*
   245     1    3S2 3P1 8G1         (3)3( 4.0)    26467.0*
   246     1    3S2 3P1 8G1         (1)3( 3.0)    26467.5*
   247     1    3S2 3P1 8G1         (3)5( 4.0)    26468.1*
   248     1    3S2 3P1 8G1         (3)5( 5.0)    26468.1*
   249     2    3S2 3P1 5P1         (1)0( 0.0)    26483.2*     0.00E+00
   250     2    3S2 3P1 8F1         (1)3( 3.0)    26715.4*     0.00E+00
   251     2    3S2 3P1 8F1         (3)3( 4.0)    26715.9*     0.00E+00
   252     2    3S2 3P1 8F1         (3)3( 3.0)    26718.2*     0.00E+00
