SEQ='NE'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 108038846.2   NPRNTI= 2   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 1.5)        0.0 
     2          2S2 2P5             (2)1( 0.5)    18303.3 
     3          2S1 2P6             (2)0( 0.5)   622608.3*

   IC RESOLVED LEVEL INDEXING           BWNR= 111415705.7   NLVL= 329
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
   276     1    2S2 2P5 8J1         (1)8( 8.0)  3237959.2 
   277     1    2S2 2P5 8J1         (3)8( 9.0)  3237961.5 
   278     1    2S2 2P5 8J1         (3)7( 6.0)  3237977.9 
   279     1    2S2 2P5 8I1         (3)6( 5.0)  3237980.0 
   280     1    2S2 2P5 8J1         (3)7( 7.0)  3237980.1 
   281     1    2S2 2P5 8J1         (1)7( 7.0)  3237982.7 
   282     1    2S2 2P5 8G1         (3)4( 3.0)  3237983.0 
   283     1    2S2 2P5 8I1         (3)6( 6.0)  3237983.0 
   284     1    2S2 2P5 8H1         (3)5( 4.0)  3237983.8 
   285     1    2S2 2P5 8J1         (3)7( 8.0)  3237985.0 
   286     1    2S2 2P5 8G1         (3)4( 4.0)  3237987.2 
   287     1    2S2 2P5 8H1         (3)5( 5.0)  3237987.9 
   288     1    2S2 2P5 8I1         (1)6( 6.0)  3237988.6 
   289     1    2S2 2P5 8I1         (3)6( 7.0)  3237991.6 
   290     1    2S2 2P5 8H1         (1)5( 5.0)  3238000.8 
   291     1    2S2 2P5 8H1         (3)5( 6.0)  3238004.9 
   292     1    2S2 2P5 8G1         (1)4( 4.0)  3238019.8 
   293     1    2S2 2P5 8G1         (3)4( 5.0)  3238026.2 
   294     2    2S2 2P5 8S1         (3)1( 0.0)  3239699.9 
   295     2    2S2 2P5 8S1         (3)1( 1.0)  3239842.7 
   296     2    2S2 2P5 8P1         (3)2( 1.0)  3245564.1 
   297     2    2S2 2P5 8P1         (3)1( 1.0)  3245699.2 
   298     2    2S2 2P5 8P1         (1)2( 2.0)  3245812.0 
   299     2    2S2 2P5 8P1         (3)1( 0.0)  3247045.3 
   300     2    2S2 2P5 8D1         (3)3( 2.0)  3253036.2 
   301     2    2S2 2P5 8D1         (3)2( 2.0)  3253075.3 
   302     2    2S2 2P5 8D1         (1)3( 3.0)  3253221.2 
   303     2    2S2 2P5 8D1         (3)2( 1.0)  3254027.1 
   304     2    2S2 2P5 8F1         (3)4( 3.0)  3256003.6 
   305     2    2S2 2P5 8F1         (3)2( 3.0)  3256016.4 
   306     2    2S2 2P5 8F1         (3)4( 4.0)  3256032.6 
   307     2    2S2 2P5 8F1         (1)2( 2.0)  3256069.3 
   308     2    2S2 2P5 8G1         (3)5( 4.0)  3256253.7 
   309     2    2S2 2P5 8G1         (1)3( 3.0)  3256256.2 
   310     2    2S2 2P5 8G1         (3)3( 4.0)  3256260.6 
   311     2    2S2 2P5 8G1         (3)5( 5.0)  3256261.1 
   312     2    2S2 2P5 8H1         (3)6( 5.0)  3256267.2 
   313     2    2S2 2P5 8H1         (1)4( 4.0)  3256267.3 
   314     2    2S2 2P5 8I1         (3)7( 6.0)  3256270.2 
   315     2    2S2 2P5 8I1         (1)5( 5.0)  3256270.2 
   316     2    2S2 2P5 8H1         (3)6( 6.0)  3256271.7 
   317     2    2S2 2P5 8H1         (3)4( 5.0)  3256271.7 
   318     2    2S2 2P5 8J1         (3)8( 7.0)  3256272.1 
   319     2    2S2 2P5 8J1         (1)6( 6.0)  3256272.1 
   320     2    2S2 2P5 8I1         (3)7( 7.0)  3256273.3 
   321     2    2S2 2P5 8I1         (3)5( 6.0)  3256273.3 
   322     2    2S2 2P5 8J1         (3)8( 8.0)  3256274.5 
   323     2    2S2 2P5 8J1         (3)6( 7.0)  3256274.5 
   324     3    2S1 2P6 4S1         (3)0( 1.0)  3296807.5 
   325     3    2S1 2P6 4S1         (1)0( 0.0)  3307131.4 
   326     3    2S1 2P6 4P1         (3)1( 0.0)  3351232.7 
   327     3    2S1 2P6 4P1         (3)1( 1.0)  3351533.5 
   328     3    2S1 2P6 4P1         (3)1( 2.0)  3352338.4 
   329     3    2S1 2P6 4P1         (1)1( 1.0)  3355608.8 

   NL-SHELL INDEXING &amp; AUGER RATES                     NLREP= 55
   -------------------------------
   ILREP   N   L  M'-M =    2-1
   -----   -   -  ----
     1     1   0       0.00E+00
     2     2   0       0.00E+00
     3     2   1       0.00E+00
     4     3   0       0.00E+00
     5     3   1       0.00E+00
     6     3   2       0.00E+00
     7     4   0       0.00E+00
     8     4   1       0.00E+00
     9     4   2       0.00E+00
    10     4   3       0.00E+00
    11     5   0       0.00E+00
    12     5   1       0.00E+00
    13     5   2       0.00E+00
    14     5   3       0.00E+00
    15     5   4       0.00E+00
    16     6   0       0.00E+00
    17     6   1       0.00E+00
    18     6   2       0.00E+00
    19     6   3       0.00E+00
    20     6   4       0.00E+00
    21     6   5       0.00E+00
    22     7   0       0.00E+00
    23     7   1       0.00E+00
    24     7   2       0.00E+00
    25     7   3       0.00E+00
    26     7   4       0.00E+00
    27     7   5       0.00E+00
    28     7   6       0.00E+00
    29     8   0       0.00E+00
    30     8   1       0.00E+00
    31     8   2       0.00E+00
    32     8   3       0.00E+00
    33     8   4       0.00E+00
    34     8   5       0.00E+00
    35     8   6       0.00E+00
    36     8   7       0.00E+00
    37     9   0       0.00E+00
    38     9   1       0.00E+00
    39     9   2       0.00E+00
    40     9   3       0.00E+00
    41     9   4       0.00E+00
    42     9   5       0.00E+00
    43     9   6       0.00E+00
    44     9   7       0.00E+00
    45     9   8       0.00E+00
    46    10   0       0.00E+00
    47    10   1       0.00E+00
    48    10   2       0.00E+00
    49    10   3       0.00E+00
    50    10   4       0.00E+00
    51    10   5       0.00E+00
    52    10   6       0.00E+00
    53    10   7       0.00E+00
    54    10   8       0.00E+00
    55    10   9       0.00E+00

