SEQ='C '     NUCCHG= 8                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  15626082.5   NPRNTI= 5   NPRNTF= 8
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P1             (2)1( 0.5)        0.0 
     2          2S2 2P1             (2)1( 1.5)      345.6 
     3          2S1 2P2             (4)1( 0.5)    66324.9 
     4          2S1 2P2             (4)1( 1.5)    66445.7 
     5          2S1 2P2             (4)1( 2.5)    66645.8 
     6          2S1 2P2             (2)2( 1.5)   130918.0*
     7          2S1 2P2             (2)2( 2.5)   130919.1*
     8          2S1 2P2             (2)1( 0.5)   168711.6*

   IC RESOLVED LEVEL INDEXING           BWNR=  15798840.8   NLVL= 941
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
   266     2    2S2 2P1 7F1         (3)3( 4.0)   152819.5 
   267     2    2S2 2P1 7F1         (3)2( 3.0)   152869.2 
   268     2    2S2 2P1 7F1         (3)4( 5.0)   152876.2 
   269     2    2S2 2P1 7F1         (3)2( 2.0)   152882.4 
   270     2    2S2 2P1 7G1         (1)4( 4.0)   152924.9 
   271     2    2S2 2P1 7G1         (3)4( 5.0)   152925.3 
   272     2    2S2 2P1 7H1         (1)5( 5.0)   152935.9 
   273     2    2S2 2P1 7H1         (3)5( 6.0)   152936.0 
   274     2    2S2 2P1 7F1         (3)2( 1.0)   152941.1 
   275     2    2S2 2P1 7I1         (1)6( 6.0)   152941.2 
   276     2    2S2 2P1 7I1         (3)6( 7.0)   152941.2 
   277     2    2S2 2P1 7G1         (3)3( 4.0)   152941.4 
   278     2    2S2 2P1 7G1         (1)3( 3.0)   152941.6 
   279     2    2S2 2P1 7H1         (3)5( 4.0)   152942.5 
   280     2    2S2 2P1 7H1         (3)5( 5.0)   152942.6 
   281     2    2S2 2P1 7I1         (3)6( 5.0)   152944.4 
   282     2    2S2 2P1 7I1         (3)6( 6.0)   152944.5 
   283     2    2S2 2P1 7F1         (1)4( 4.0)   152945.8 
   284     2    2S2 2P1 7I1         (1)7( 7.0)   152954.2 
   285     2    2S2 2P1 7I1         (3)7( 8.0)   152954.3 
   286     2    2S2 2P1 7H1         (1)6( 6.0)   152957.3 
   287     2    2S2 2P1 7I1         (3)5( 4.0)   152957.3 
   288     2    2S2 2P1 7H1         (3)6( 7.0)   152957.4 
   289     2    2S2 2P1 7I1         (3)5( 5.0)   152957.4 
   290     2    2S2 2P1 7F1         (1)2( 2.0)   152959.5 
   291     2    2S2 2P1 7H1         (3)4( 3.0)   152963.5 
   292     2    2S2 2P1 7H1         (3)4( 4.0)   152963.6 
   293     2    2S2 2P1 7G1         (3)5( 6.0)   152964.0 
   294     2    2S2 2P1 7G1         (1)5( 5.0)   152964.4 
   295     2    2S2 2P1 7G1         (3)3( 2.0)   152978.8 
   296     2    2S2 2P1 7G1         (3)3( 3.0)   152979.5 
   297     2    2S2 2P1 7D1         (1)3( 3.0)   153191.8 
   298     2    2S2 2P1 7D1         (1)1( 1.0)   153228.9 
   299     3    2S1 2P2 4S1         (5)1( 1.0)   153965.9 
   300     4    2S1 2P2 4S1         (5)1( 2.0)   154085.1 
   301     5    2S1 2P2 4S1         (5)1( 3.0)   154263.9 
   302     1    2S2 2P1 8S1         (3)1( 0.0)   154753.4 
   303     1    2S2 2P1 8S1         (3)1( 1.0)   154803.9 
   304     2    2S2 2P1 8S1         (3)1( 2.0)   155098.0 
   305     2    2S2 2P1 8S1         (1)1( 1.0)   155281.1 
   306     1    2S2 2P1 8P1         (1)1( 1.0)   155704.8 
   307     1    2S2 2P1 8P1         (3)2( 1.0)   155851.2 
   308     1    2S2 2P1 8P1         (3)2( 2.0)   155932.0 
