SEQ='SI'     NUCCHG=14                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  63496278.1   NPRNTI= 5   NPRNTF= 5
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2 3P1             (2)1( 2.5)        0.0 
     2          3S1 3P2             (4)1( 5.5)    39975.6 
     3          3S1 3P2             (2)2( 4.5)    55707.8 
     4          3S1 3P2             (2)0( 0.5)    73644.4 
     5          3S1 3P2             (2)1( 2.5)    80374.1 

   LS RESOLVED TERM INDEXING            BWNR=  63582352.7   NTRM= 821
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
   225     2    3S1 3P2 5F1         (5)2(12.0)   121578.4*     0.00E+00
   226     2    3S1 3P2 5F1         (3)2( 7.0)   121582.8*     4.04E+11
   227     2    3S1 3P2 7S1         (5)1( 7.0)   121599.6*     0.00E+00
   228     2    3S1 3P2 5F1         (5)4(22.0)   121611.6*     0.00E+00
   229     2    3S1 3P2 5F1         (3)4(13.0)   121623.6*     5.66E+09
   230     2    3S1 3P2 5G1         (5)3(17.0)   121632.3*     0.00E+00
   231     2    3S1 3P2 5G1         (3)3(10.0)   121632.4*     5.47E+08
   232     2    3S1 3P2 5G1         (5)5(27.0)   121646.1*     0.00E+00
   233     2    3S1 3P2 5G1         (3)5(16.0)   121646.2*     1.27E+07
   234     2    3S1 3P2 5G1         (5)4(22.0)   121700.1*     0.00E+00
   235     2    3S1 3P2 5G1         (3)4(13.0)   121700.3*     3.33E+08
   236     2    3S1 3P2 5F1         (5)3(17.0)   121727.3*     0.00E+00
   237     2    3S1 3P2 5F1         (3)3(10.0)   121745.7*     8.17E+10
   238     2    3S1 3P2 7S1         (3)1( 4.0)   122008.4*     1.26E+13
   239     2    3S1 3P2 6D1         (3)1( 4.0)   122091.6*     1.38E+11
   240     2    3S1 3P2 6D1         (3)2( 7.0)   122113.3*     5.19E+11
   241     2    3S1 3P2 3D1         (5)1( 7.0)   122296.9*     0.00E+00
   242     2    3S1 3P2 6D1         (3)3(10.0)   122312.8*     1.13E+12
   243     2    3S1 3P2 6D1         (5)3(17.0)   122334.5*     0.00E+00
