SEQ='AL'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 113539305.5   NPRNTI= 4   NPRNTF=18
   ---------------------
   INDP         CODE                 S L   WI        WNP
   163     1    2P6 3S2 6D1         (2)2( 2.5)   601029.5 
   164     8    2P6 3P2 4S1         (4)1( 1.5)   601619.0 
   165     9    2P6 3P2 4S1         (4)1( 2.5)   603073.9 
   166    13    2P6 3S1 3D2         (2)3( 2.5)   605030.1 
   167    13    2P6 3S1 3D2         (2)3( 3.5)   605126.7 
   168     2    2P6 3S1 3P1 5S1     (4)1( 0.5)   606574.8 
   169     8    2P6 3P2 4S1         (2)1( 0.5)   606888.2 
   170     3    2P6 3S1 3P1 5S1     (4)1( 1.5)   607295.0 
   171    13    2P6 3S1 3D2         (2)0( 0.5)   607627.0 
   172     1    2P6 3S2 6F1         (2)3( 2.5)   607905.4 
   173     1    2P6 3S2 6F1         (2)3( 3.5)   607912.9 
   174     9    2P6 3P2 4S1         (2)1( 1.5)   608124.0 
   175     4    2P6 3S1 3P1 5S1     (4)1( 2.5)   608644.8 
   176     1    2P6 3S2 6G1         (2)4( 3.5)   609381.2 
   177     1    2P6 3S2 6G1         (2)4( 4.5)   609385.3 
   178     1    2P6 3S2 6H1         (2)5( 4.5)   609484.5 
   179     1    2P6 3S2 6H1         (2)5( 5.5)   609487.2 
   180     3    2P6 3S1 3P1 5S1     (2)1( 0.5)   611614.3 
   181     4    2P6 3S1 3P1 5S1     (2)1( 1.5)   613141.9 
   182     5    2P6 3S1 3P1 4D1     (2)2( 1.5)   613254.6 
   183     5    2P6 3S1 3P1 4D1     (2)2( 2.5)   613333.7 
   184     5    2P6 3S1 3P1 4D1     (2)3( 2.5)   615265.9 
   185     5    2P6 3S1 3P1 4D1     (2)3( 3.5)   615286.3 
   186     1    2P6 3S2 7S1         (2)0( 0.5)   616839.6 
   187     5    2P6 3S1 3P1 4D1     (2)1( 0.5)   618242.2 
   188     5    2P6 3S1 3P1 4D1     (2)1( 1.5)   618322.7 
   189     1    2P6 3S2 7P1         (2)1( 0.5)   623608.7 
   190     1    2P6 3S2 7P1         (2)1( 1.5)   623696.5 
   191    14    2P6 3S1 3D2         (2)1( 0.5)   626286.9 
   192    14    2P6 3S1 3D2         (2)1( 1.5)   626529.4 
   193     2    2P6 3S1 3P1 5P1     (4)2( 0.5)   626912.5 
   194     2    2P6 3S1 3P1 5P1     (4)2( 1.5)   627405.2 
   195     3    2P6 3S1 3P1 5P1     (4)2( 2.5)   628124.7 
   196     3    2P6 3S1 3P1 5P1     (2)1( 0.5)   628218.4 
   197     3    2P6 3S1 3P1 5P1     (2)1( 1.5)   628461.7 
   198     3    2P6 3S1 3P1 5P1     (4)1( 0.5)   629116.1 
   199     4    2P6 3S1 3P1 5P1     (4)2( 3.5)   629292.9 
   200     3    2P6 3S1 3P1 5P1     (4)1( 1.5)   629601.4 
   201     4    2P6 3S1 3P1 5P1     (4)1( 2.5)   630345.2 
   202     4    2P6 3S1 3P1 5P1     (4)0( 1.5)   631631.8 
   203     4    2P6 3S1 3P1 5P1     (2)2( 1.5)   632813.8 
   204     1    2P6 3S2 7D1         (2)2( 1.5)   633284.8 
   205     1    2P6 3S2 7D1         (2)2( 2.5)   633300.3 
   206     4    2P6 3S1 3P1 5P1     (2)2( 2.5)   634009.6 
   207     6    2P6 3P2 4P1         (2)2( 1.5)   636496.1 
   208     6    2P6 3P2 4P1         (2)2( 2.5)   637040.4 
   209     1    2P6 3S2 7F1         (2)3( 2.5)   637563.7 
   210     1    2P6 3S2 7F1         (2)3( 3.5)   637568.5 
   211     6    2P6 3P2 4P1         (2)0( 0.5)   637866.8 
   212     5    2P6 3S1 3P1 4F1     (2)3( 2.5)   638160.1 
   213     5    2P6 3S1 3P1 4F1     (2)3( 3.5)   638197.7 
   214     4    2P6 3S1 3P1 5P1     (2)0( 0.5)   638310.3 
   215     1    2P6 3S2 7G1         (2)4( 3.5)   638512.5 
   216     1    2P6 3S2 7G1         (2)4( 4.5)   638515.1 
   217     1    2P6 3S2 7H1         (2)5( 4.5)   638599.6 
   218     1    2P6 3S2 7H1         (2)5( 5.5)   638601.3 
   219    14    2P6 3P1 3D2         (4)4( 2.5)   639107.8 
   220    14    2P6 3P1 3D2         (4)4( 3.5)   639577.0 
   221    14    2P6 3P1 3D2         (4)4( 4.5)   640182.5 
   222    13    2P6 3P1 3D2         (4)4( 5.5)   640926.8 
   223     5    2P6 3S1 3P1 4F1     (2)4( 4.5)   641100.6 
   224     5    2P6 3S1 3P1 4F1     (2)4( 3.5)   641149.0 
   225     6    2P6 3P2 4P1         (2)3( 2.5)   641211.7 
   226     6    2P6 3P2 4P1         (2)3( 3.5)   641373.9 
   227     7    2P6 3P2 4P1         (4)2( 0.5)   642555.5 
   228     6    2P6 3P2 4P1         (4)2( 1.5)   643042.1 
   229     1    2P6 3S2 8S1         (2)0( 0.5)   643296.2 
   230     5    2P6 3S1 3P1 4F1     (2)2( 1.5)   643663.3 
   231     5    2P6 3S1 3P1 4F1     (2)2( 2.5)   643702.6 
   232     8    2P6 3P2 4P1         (4)2( 2.5)   643956.3 
   233     7    2P6 3P2 4P1         (2)1( 1.5)   644766.1 
   234     9    2P6 3P2 4P1         (4)2( 3.5)   645279.2 
   235     8    2P6 3P2 4P1         (2)1( 0.5)   645500.6 
   236     8    2P6 3P2 4P1         (4)1( 0.5)   647483.4 
   237     1    2P6 3S2 8P1         (2)1( 0.5)   647657.7 
   238     1    2P6 3S2 8P1         (2)1( 1.5)   647715.2 
   239     8    2P6 3P2 4P1         (4)1( 1.5)   647755.8 
   240     9    2P6 3P2 4P1         (4)1( 2.5)   648697.9 
   241     8    2P6 3P2 4P1         (4)0( 1.5)   651039.9 
   242    10    2P6 3P2 4S1         (2)0( 0.5)   653023.0 
   243     1    2P6 3S2 8D1         (2)2( 1.5)   653953.8 
   244     1    2P6 3S2 8D1         (2)2( 2.5)   653964.3 
   245    14    2P6 3P1 3D2         (2)3( 2.5)   654558.5 
   246    14    2P6 3P1 3D2         (2)3( 3.5)   655508.7 
   247    11    2P6 3S1 3D1 4S1     (4)2( 0.5)   656307.3 
   248    11    2P6 3S1 3D1 4S1     (4)2( 1.5)   656370.3 
   249    12    2P6 3S1 3D1 4S1     (4)2( 2.5)   656475.9 
   250     9    2P6 3P2 4P1         (2)2( 1.5)   656537.8 
   251    13    2P6 3S1 3D1 4S1     (4)2( 3.5)   656624.8 
   252     1    2P6 3S2 8F1         (2)3( 2.5)   656786.5 
   253     1    2P6 3S2 8F1         (2)3( 3.5)   656789.7 
   254    14    2P6 3P1 3D2         (2)2( 1.5)   656989.0 
   255     2    2P6 3S1 3P1 5D1     (4)2( 1.5)   657183.5 
   256     2    2P6 3S1 3P1 5D1     (4)2( 2.5)   657258.0 
   257     9    2P6 3P2 4P1         (2)2( 2.5)   657316.6 
   258    14    2P6 3P1 3D2         (2)2( 2.5)   657342.2 
   259     3    2P6 3S1 3P1 5D1     (4)2( 0.5)   657347.6 
   260     1    2P6 3S2 8G1         (2)4( 3.5)   657430.1 
   261     1    2P6 3S2 8G1         (2)4( 4.5)   657431.9 
   262     1    2P6 3S2 8H1         (2)5( 4.5)   657497.1 
   263     1    2P6 3S2 8H1         (2)5( 5.5)   657498.3 
   264     3    2P6 3S1 3P1 5D1     (2)2( 1.5)   657609.0 
   265     3    2P6 3S1 3P1 5D1     (4)2( 3.5)   657747.8 
   266     3    2P6 3S1 3P1 5D1     (2)2( 2.5)   658048.8 
   267     3    2P6 3S1 3P1 5D1     (4)3( 1.5)   658515.8 
   268     3    2P6 3S1 3P1 5D1     (4)3( 2.5)   658879.7 
   269     4    2P6 3S1 3P1 5D1     (4)3( 3.5)   659367.5 
   270     4    2P6 3S1 3P1 5D1     (4)3( 4.5)   659864.3 
   271     4    2P6 3S1 3P1 5D1     (4)1( 2.5)   660645.4 
   272     4    2P6 3S1 3P1 5D1     (4)1( 1.5)   661103.4 
   273     4    2P6 3S1 3P1 5D1     (2)3( 2.5)   661259.5 
   274     4    2P6 3S1 3P1 5D1     (4)1( 0.5)   661406.1 
   275     4    2P6 3S1 3P1 5D1     (2)3( 3.5)   662297.9 
   276     4    2P6 3S1 3P1 5D1     (2)1( 1.5)   662581.2 
   277     9    2P6 3P2 4P1         (2)1( 0.5)   662963.7 
   278    14    2P6 3P1 3D2         (4)2( 0.5)   663154.9 
   279     4    2P6 3S1 3P1 5D1     (2)1( 0.5)   663237.6 
   280    14    2P6 3P1 3D2         (4)2( 1.5)   663438.5 
   281    14    2P6 3P1 3D2         (4)2( 2.5)   663876.0 
   282     9    2P6 3P2 4P1         (2)1( 1.5)   664359.0 
   283    14    2P6 3P1 3D2         (4)2( 3.5)   664422.8 
   284    14    2P6 3P1 3D2         (2)0( 0.5)   664953.7 
   285    12    2P6 3S1 3D1 4S1     (2)2( 1.5)   668297.6 
   286    13    2P6 3S1 3D1 4S1     (2)2( 2.5)   668489.0 
   287     5    2P6 3S1 3P1 5S1     (2)1( 0.5)   668740.6 
   288     5    2P6 3S1 3P1 5S1     (2)1( 1.5)   668783.7 
   289     2    2P6 3S1 3P1 5F1     (4)3( 2.5)   669242.5 
   290     2    2P6 3S1 3P1 5F1     (4)3( 3.5)   669349.5 
   291     3    2P6 3S1 3P1 5F1     (4)3( 1.5)   669589.4 
   292     3    2P6 3S1 3P1 5F1     (4)3( 4.5)   669762.5 
   293     3    2P6 3S1 3P1 5F1     (2)3( 2.5)   669817.4 
   294     3    2P6 3S1 3P1 5F1     (2)3( 3.5)   670142.7 
   295    14    2P6 3P1 3D2         (4)3( 1.5)   670423.4 
   296    14    2P6 3P1 3D2         (4)3( 2.5)   670589.9 
   297     3    2P6 3S1 3P1 5F1     (4)4( 2.5)   670622.9 
   298    14    2P6 3P1 3D2         (4)3( 3.5)   670801.0 
   299     3    2P6 3S1 3P1 5F1     (4)4( 3.5)   670946.4 
   300    14    2P6 3P1 3D2         (4)3( 4.5)   671017.7 
   301     4    2P6 3S1 3P1 5F1     (4)4( 4.5)   671312.2 
   302     4    2P6 3S1 3P1 5F1     (4)4( 5.5)   671677.9 
   303    14    2P6 3P1 3D2         (4)1( 0.5)   672057.4 
   304    14    2P6 3P1 3D2         (4)1( 1.5)   672284.7 
   305     2    2P6 3S1 3P1 5G1     (4)4( 3.5)   672328.1 
