SEQ='SI'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 114452481.1   NPRNTI= 5   NPRNTF=10
   ---------------------
   INDP         CODE                 S L   WI        WNP
   309     1    3S2 3P1 8H1         (1)4( 4.0)   264014.9*
   310     1    3S2 3P1 8H1         (3)6( 6.0)   264016.2*
   311     1    3S2 3P1 8I1         (1)5( 5.0)   264018.1*
   312     1    3S2 3P1 8G1         (3)4( 3.0)   264018.2*
   313     1    3S2 3P1 8I1         (3)5( 6.0)   264018.3*
   314     1    3S2 3P1 8I1         (3)7( 6.0)   264019.1*
   315     1    3S2 3P1 8I1         (3)7( 7.0)   264019.4*
   316     1    3S2 3P1 8G1         (3)3( 4.0)   264101.7*
   317     2    3S2 3P1 8G1         (3)5( 6.0)   264355.7*     0.00E+00
   318     5    3S1 3P2 5P1         (3)2( 3.0)   264417.4*     0.00E+00  0.00E+00  0.00E+00  0.00E+00
   319     2    3S2 3P1 8F1         (1)3( 3.0)   264895.2*     0.00E+00
   320     2    3S2 3P1 8F1         (3)3( 4.0)   264998.2*     0.00E+00
   321     2    3S2 3P1 8F1         (3)4( 5.0)   265028.0*     0.00E+00
   322     2    3S2 3P1 8G1         (1)5( 5.0)   265069.8*     0.00E+00
   323     2    3S2 3P1 8F1         (3)2( 3.0)   265187.8*     0.00E+00
   324     2    3S2 3P1 8F1         (3)2( 2.0)   265295.7*     0.00E+00
   325     2    3S2 3P1 8F1         (3)2( 1.0)   265441.0*     0.00E+00
   326     2    3S2 3P1 8G1         (3)4( 4.0)   265539.3*     0.00E+00
   327     2    3S2 3P1 8G1         (3)3( 3.0)   265726.5*     0.00E+00
   328     2    3S2 3P1 8G1         (3)3( 2.0)   265746.2*     0.00E+00
   329     2    3S2 3P1 8G1         (1)4( 4.0)   265758.2*     0.00E+00
   330     2    3S2 3P1 8G1         (3)4( 5.0)   265774.6*     0.00E+00
   331     2    3S2 3P1 8F1         (1)4( 4.0)   265782.1*     0.00E+00
   332     2    3S2 3P1 8H1         (3)5( 5.0)   265823.4*     0.00E+00
   333     2    3S2 3P1 8H1         (3)5( 6.0)   265825.2*     0.00E+00
   334     2    3S2 3P1 8I1         (1)6( 6.0)   265860.6*     0.00E+00
   335     2    3S2 3P1 8I1         (3)6( 7.0)   265860.9*     0.00E+00
   336     2    3S2 3P1 8H1         (3)4( 5.0)   265869.8*     0.00E+00
   337     2    3S2 3P1 8H1         (3)5( 4.0)   265871.4*     0.00E+00
   338     2    3S2 3P1 8I1         (3)6( 5.0)   265881.8*     0.00E+00
   339     2    3S2 3P1 8I1         (3)6( 6.0)   265881.9*     0.00E+00
   340     2    3S2 3P1 8F1         (1)2( 2.0)   265894.4*     0.00E+00
   341     2    3S2 3P1 8I1         (1)7( 7.0)   265945.8*     0.00E+00
