SEQ='B '     NUCCHG=10                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  24217863.3   NPRNTI= 4   NPRNTF=10
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   238     4    1S2 2S1 2P1 5P1     (4)2( 3.5)  1203838.5 
   239     3    1S2 2S1 2P1 5P1     (4)0( 1.5)  1204550.9 
   240     3    1S2 2S1 2P1 5P1     (4)1( 0.5)  1204991.2 
   241     4    1S2 2S1 2P1 5P1     (4)1( 1.5)  1205683.5 
   242     4    1S2 2S1 2P1 5P1     (4)1( 2.5)  1205903.2 
   243     4    1S2 2S1 2P1 5P1     (2)2( 1.5)  1206903.3 
   244     4    1S2 2S1 2P1 5P1     (2)2( 2.5)  1207865.1 
   245     2    1S2 2S1 2P1 5D1     (4)3( 1.5)  1209047.7 
   246     2    1S2 2S1 2P1 5D1     (4)3( 2.5)  1209346.4 
   247     3    1S2 2S1 2P1 5D1     (4)3( 3.5)  1209817.4 
   248     4    1S2 2S1 2P1 5P1     (2)0( 0.5)  1210194.8 
   249     4    1S2 2S1 2P1 5D1     (4)3( 4.5)  1210573.1 
   250     3    1S2 2S1 2P1 5D1     (4)1( 2.5)  1211223.8 
   251     3    1S2 2S1 2P1 5D1     (4)2( 1.5)  1211348.9 
   252     3    1S2 2S1 2P1 5D1     (4)2( 0.5)  1211415.7 
   253     4    1S2 2S1 2P1 5D1     (4)2( 3.5)  1212152.9 
   254     3    1S2 2S1 2P1 5D1     (2)2( 1.5)  1212270.5 
   255     3    1S2 2S1 2P1 5D1     (4)2( 2.5)  1212459.7 
   256     4    1S2 2S1 2P1 5D1     (2)2( 2.5)  1212733.2 
   257     4    1S2 2S1 2P1 5D1     (4)1( 1.5)  1212744.8 
   258     4    1S2 2S1 2P1 5D1     (4)1( 0.5)  1212835.4 
   259    10    1S2 2P2 3D1         (2)2( 2.5)  1213844.7 
   260     2    1S2 2S1 2P1 5F1     (4)3( 2.5)  1213877.7 
   261     2    1S2 2S1 2P1 5F1     (4)3( 3.5)  1213910.2 
   262    10    1S2 2P2 3D1         (2)2( 1.5)  1213990.2 
   263     3    1S2 2S1 2P1 5F1     (4)3( 1.5)  1214159.0 
   264     3    1S2 2S1 2P1 5F1     (2)3( 2.5)  1214245.6 
   265     3    1S2 2S1 2P1 5F1     (4)3( 4.5)  1214324.9 
   266     2    1S2 2S1 2P1 5G1     (4)4( 3.5)  1214362.5 
   267     2    1S2 2S1 2P1 5G1     (4)4( 4.5)  1214368.7 
   268     3    1S2 2S1 2P1 5F1     (2)3( 3.5)  1214438.1 
   269     3    1S2 2S1 2P1 5G1     (4)4( 2.5)  1214784.5 
   270     3    1S2 2S1 2P1 5G1     (2)4( 3.5)  1214791.6 
   271     3    1S2 2S1 2P1 5F1     (4)4( 2.5)  1214876.1 
   272     3    1S2 2S1 2P1 5G1     (2)4( 4.5)  1214876.9 
   273     3    1S2 2S1 2P1 5G1     (4)4( 5.5)  1214878.4 
   274     3    1S2 2S1 2P1 5F1     (4)4( 3.5)  1215034.6 
   275     3    1S2 2S1 2P1 5G1     (4)5( 3.5)  1215217.1 
   276     3    1S2 2S1 2P1 5G1     (2)5( 4.5)  1215224.7 
   277     4    1S2 2S1 2P1 5D1     (2)3( 2.5)  1215474.8 
   278     4    1S2 2S1 2P1 5F1     (4)4( 4.5)  1215613.9 
   279     4    1S2 2S1 2P1 5F1     (4)2( 3.5)  1215785.9 
   280     4    1S2 2S1 2P1 5F1     (4)4( 5.5)  1215934.3 
   281     4    1S2 2S1 2P1 5F1     (2)4( 3.5)  1215980.8 
   282     4    1S2 2S1 2P1 5F1     (4)2( 2.5)  1216034.3 
   283     4    1S2 2S1 2P1 5G1     (4)5( 4.5)  1216121.8 
   284     4    1S2 2S1 2P1 5G1     (4)5( 5.5)  1216124.2 
   285     4    1S2 2S1 2P1 5G1     (2)3( 3.5)  1216142.1 
   286     4    1S2 2S1 2P1 5G1     (4)3( 4.5)  1216143.6 
   287     4    1S2 2S1 2P1 5F1     (4)2( 1.5)  1216307.3 
   288     4    1S2 2S1 2P1 5D1     (2)3( 3.5)  1216360.0 
   289     4    1S2 2S1 2P1 5G1     (4)3( 2.5)  1216363.2 
   290     4    1S2 2S1 2P1 5G1     (4)3( 3.5)  1216366.2 
   291     4    1S2 2S1 2P1 5G1     (4)5( 6.5)  1216399.2 
   292     4    1S2 2S1 2P1 5G1     (2)5( 5.5)  1216408.4 
   293     4    1S2 2S1 2P1 5F1     (2)2( 2.5)  1216450.7 
   294     4    1S2 2S1 2P1 5F1     (4)2( 0.5)  1216455.6 
   295     4    1S2 2S1 2P1 5F1     (2)4( 4.5)  1216513.5 
   296     4    1S2 2S1 2P1 5D1     (2)1( 1.5)  1216535.7 
   297     4    1S2 2S1 2P1 5G1     (4)3( 1.5)  1216547.9 
   298     4    1S2 2S1 2P1 5G1     (2)3( 2.5)  1216560.7 
   299     4    1S2 2S1 2P1 5F1     (2)2( 1.5)  1216848.4 
   300     4    1S2 2S1 2P1 5D1     (2)1( 0.5)  1217072.6 
   301     5    1S2 2S1 2P1 4P1     (2)2( 1.5)  1217725.8 
   302     5    1S2 2S1 2P1 4P1     (2)2( 2.5)  1217827.6 
   303     5    1S2 2S1 2P1 4P1     (2)1( 0.5)  1218874.7 
   304     5    1S2 2S1 2P1 4P1     (2)1( 1.5)  1219008.9 
   305     5    1S2 2S1 2P1 4P1     (2)0( 0.5)  1221647.7 
   306     5    1S2 2S1 2P1 4D1     (2)3( 3.5)  1232938.7 
   307     5    1S2 2S1 2P1 4D1     (2)3( 2.5)  1232943.2 
   308     5    1S2 2S1 2P1 4D1     (2)2( 1.5)  1233213.9 
   309     5    1S2 2S1 2P1 4D1     (2)2( 2.5)  1233271.0 
   310     5    1S2 2S1 2P1 4D1     (2)1( 0.5)  1237012.9 
   311     5    1S2 2S1 2P1 4D1     (2)1( 1.5)  1237054.5 
   312     5    1S2 2S1 2P1 4F1     (2)3( 2.5)  1238028.2 
   313     5    1S2 2S1 2P1 4F1     (2)3( 3.5)  1238044.4 
   314     5    1S2 2S1 2P1 4F1     (2)4( 3.5)  1240066.2 
   315     5    1S2 2S1 2P1 4F1     (2)4( 4.5)  1240080.1 
   316     5    1S2 2S1 2P1 4F1     (2)2( 1.5)  1240963.0 
   317     5    1S2 2S1 2P1 4F1     (2)2( 2.5)  1240978.8 
   318     2    1S2 2S1 2P1 6S1     (4)1( 0.5)  1251029.1 
   319     3    1S2 2S1 2P1 6S1     (4)1( 1.5)  1251597.1 
   320     4    1S2 2S1 2P1 6S1     (4)1( 2.5)  1252694.1 
   321     3    1S2 2S1 2P1 6S1     (2)1( 0.5)  1253173.9 
   322     4    1S2 2S1 2P1 6S1     (2)1( 1.5)  1254425.9 
   323     2    1S2 2S1 2P1 6P1     (4)2( 0.5)  1255821.0 
   324     2    1S2 2S1 2P1 6P1     (4)2( 1.5)  1256118.4 
   325     3    1S2 2S1 2P1 6P1     (4)2( 2.5)  1256614.4 
   326     3    1S2 2S1 2P1 6P1     (4)0( 1.5)  1256855.9 
   327     3    1S2 2S1 2P1 6P1     (2)1( 0.5)  1256935.4 
   328     4    1S2 2S1 2P1 6P1     (4)2( 3.5)  1257520.3 
   329     3    1S2 2S1 2P1 6P1     (4)1( 0.5)  1257612.0 
   330     3    1S2 2S1 2P1 6P1     (2)1( 1.5)  1257658.9 
   331     4    1S2 2S1 2P1 6P1     (4)1( 1.5)  1258462.7 
   332     4    1S2 2S1 2P1 6P1     (4)1( 2.5)  1258554.9 
   333     4    1S2 2S1 2P1 6P1     (2)2( 1.5)  1258812.6 
   334     4    1S2 2S1 2P1 6P1     (2)2( 2.5)  1259674.5 
   335     2    1S2 2S1 2P1 6D1     (4)3( 1.5)  1259729.7 
   336     2    1S2 2S1 2P1 6D1     (4)3( 2.5)  1259995.6 
   337     3    1S2 2S1 2P1 6D1     (4)3( 3.5)  1260453.0 
   338     4    1S2 2S1 2P1 6P1     (2)0( 0.5)  1260824.8 
