SEQ='SI'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 114332270.4   NPRNTI=10   NPRNTF=55
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   278     4    3S1 3P2 4D1         (3)1( 1.0)   518227.4 
   279     2    3S2 3P1 6S1         (1)1( 1.0)   518335.6 
   280     4    3S1 3P2 4D1         (3)1( 0.0)   518489.3 
   281     5    3S1 3P2 4D1         (5)2( 0.0)   520403.2 
   282     5    3S1 3P2 4D1         (5)2( 1.0)   520472.4 
   283     4    3S1 3P2 4D1         (5)2( 2.0)   520598.2 
   284     4    3S1 3P2 4D1         (5)2( 3.0)   520749.8 
   285     5    3S1 3P2 4D1         (5)2( 4.0)   520881.7 
   286  9999    3S1 3P1 3D2         (5)2( 0.0)   521129.0 
   287     5    3S1 3P2 4D1         (3)3( 2.0)   521192.1 
   288  9999    3S1 3P1 3D2         (5)2( 1.0)   521223.2 
   289  9999    3S1 3P1 3D2         (5)2( 2.0)   521416.2 
   290  9999    3S1 3P1 3D2         (5)2( 3.0)   521716.8 
   291     5    3S1 3P2 4D1         (3)3( 3.0)   521738.4 
   292  9999    3S1 3P1 3D2         (5)2( 4.0)   522139.9 
   293     5    3S1 3P2 4D1         (3)3( 4.0)   522495.3 
   294  9999    3P3 3D1             (1)3( 3.0)   523459.8 
   295     1    3S2 3P1 6P1         (1)1( 1.0)   524946.5 
   296  9999    3S1 3P1 3D2         (5)3( 1.0)   525309.1 
   297  9999    3S1 3P1 3D2         (5)3( 2.0)   525401.9 
   298  9999    3S1 3P1 3D2         (5)3( 3.0)   525537.5 
   299     1    3S2 3P1 6P1         (3)2( 1.0)   525586.0 
   300  9999    3S1 3P1 3D2         (5)3( 4.0)   525709.5 
   301     1    3S2 3P1 6P1         (3)2( 2.0)   525747.3 
   302  9999    3S1 3P1 3D2         (5)3( 5.0)   525902.5 
   303     1    3S2 3P1 6P1         (3)1( 0.0)   526026.4 
   304     2    3S2 3P1 6P1         (3)1( 1.0)   526855.6 
   305     2    3S2 3P1 6P1         (3)2( 3.0)   527171.7 
   306     2    3S2 3P1 6P1         (3)1( 2.0)   527354.9 
   307     5    3S1 3P2 4D1         (3)2( 1.0)   527711.7 
   308     8    3S1 3P2 4P1         (3)1( 0.0)   527768.2 
   309     5    3S1 3P2 4D1         (3)2( 2.0)   527897.7 
   310     2    3S2 3P1 6P1         (3)0( 1.0)   528030.8 
   311     8    3S1 3P2 4P1         (3)1( 1.0)   528059.3 
   312     5    3S1 3P2 4D1         (3)2( 3.0)   528116.3 
   313     8    3S1 3P2 4P1         (3)1( 2.0)   528487.9 
   314     2    3S2 3P1 6P1         (1)2( 2.0)   528583.6 
   315  9999    3S1 3P1 3D2         (5)1( 1.0)   529592.1 
   316  9999    3S1 3P1 3D2         (5)1( 2.0)   529927.3 
   317  9999    3S1 3P1 3D2         (5)1( 3.0)   530427.4 
   318     2    3S2 3P1 6P1         (1)0( 0.0)   530868.1 
   319     9    3S1 3P2 4P1         (1)0( 0.0)   531146.1 
   320     8    3S1 3P2 4P1         (1)1( 1.0)   532516.0 
   321  9999    3P3 3D1             (1)3( 3.0)   533766.4 
   322  9999    3P3 3D1             (3)2( 2.0)   537765.1 
   323  9999    3P3 3D1             (3)2( 3.0)   537831.8 
   324  9999    3P3 3D1             (3)2( 1.0)   538553.2 
   325     9    3S1 3P2 4P1         (3)2( 1.0)   538589.6 
   326  9999    3P3 3D1             (1)2( 2.0)   539002.0 
   327     9    3S1 3P2 4P1         (3)2( 2.0)   539077.2 
   328     1    3S2 3P1 6D1         (1)2( 2.0)   539316.5 
   329     1    3S2 3P1 6D1         (3)2( 2.0)   539490.5 
   330     1    3S2 3P1 6D1         (3)2( 1.0)   539600.0 
   331     1    3S2 3P1 6D1         (3)3( 3.0)   539658.5 
   332    10    3S1 3P2 4P1         (3)2( 3.0)   539920.9 
   333     2    3S2 3P1 6D1         (3)3( 2.0)   540930.5 
   334     2    3S2 3P1 6D1         (3)2( 3.0)   541102.6 
   335     2    3S2 3P1 6D1         (3)3( 4.0)   541429.5 
   336     2    3S2 3P1 6D1         (3)1( 2.0)   541662.3 
   337     2    3S2 3P1 6D1         (3)1( 1.0)   541872.8 
   338     2    3S2 3P1 6D1         (3)1( 0.0)   542094.7 
   339     2    3S2 3P1 6D1         (1)3( 3.0)   542099.8 
   340     3    3S1 3P2 4F1         (5)4( 2.0)   542525.8 
   341    10    3S1 3P2 4P1         (3)1( 0.0)   542648.9 
   342     2    3S2 3P1 6D1         (1)1( 1.0)   542655.2 
   343  9999    3S1 3P1 3D2         (5)2( 4.0)   542693.8 
   344     3    3S1 3P2 4F1         (5)4( 3.0)   542742.1 
   345     9    3S1 3P2 4P1         (3)1( 1.0)   542781.0 
   346  9999    3S1 3P1 3D2         (5)2( 3.0)   542790.5 
   347  9999    3S1 3P1 3D2         (5)2( 2.0)   542858.9 
   348  9999    3S1 3P1 3D2         (5)2( 1.0)   542939.4 
