SEQ='MG'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 112580517.2   NPRNTI= 3   NPRNTF= 5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S1                 (2)0( 0.5)        0.0 
     2          3P1                 (2)1( 0.5)   139182.0 
     3          3P1                 (2)1( 1.5)   141357.6 
     4          3D1                 (2)2( 1.5)   332144.3*
     5          3D1                 (2)2( 2.5)   332333.0*

   IC RESOLVED LEVEL INDEXING           BWNR= 113581641.6   NLVL= 453
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
   252     2    3P1 6G1             (3)4( 4.0)   990376.4 
   253     2    3P1 6G1             (3)4( 3.0)   990378.2 
   254     3    3P1 6F1             (3)4( 3.0)   990490.5 
   255     2    3P1 6G1             (3)4( 5.0)   990495.7 
   256     2    3P1 6H1             (3)5( 5.0)   990759.8 
   257     2    3P1 6H1             (3)5( 4.0)   990762.0 
   258     3    3P1 6F1             (3)3( 4.0)   990769.6 
   259     2    3P1 6H1             (1)5( 5.0)   990811.2 
   260     2    3P1 6H1             (3)5( 6.0)   990821.4 
   261     3    3P1 6F1             (3)4( 5.0)   990940.2 
   262     3    3P1 6F1             (3)2( 3.0)   991743.6 
   263     3    3P1 6F1             (3)2( 2.0)   992091.5 
   264     3    3P1 6G1             (3)5( 4.0)   992321.2 
   265     3    3P1 6F1             (3)2( 1.0)   992435.7 
   266     3    3P1 6G1             (3)5( 5.0)   992458.6 
   267     3    3P1 6H1             (3)6( 5.0)   992760.5 
   268     3    3P1 6H1             (3)6( 6.0)   992770.7 
   269     3    3P1 6G1             (3)3( 4.0)   992962.2 
   270     3    3P1 6H1             (3)4( 5.0)   993030.0 
   271     3    3P1 6H1             (1)4( 4.0)   993035.6 
   272     3    3P1 6G1             (3)3( 3.0)   993114.0 
   273     3    3P1 6G1             (3)5( 6.0)   993119.9 
   274     3    3P1 6H1             (3)6( 7.0)   993377.6 
   275     3    3P1 6H1             (1)6( 6.0)   993392.2 
   276     3    3P1 6G1             (1)5( 5.0)   993541.5 
   277     3    3P1 6H1             (3)4( 3.0)   993588.3 
   278     3    3P1 6H1             (3)4( 4.0)   993600.0 
   279     3    3P1 6G1             (3)3( 2.0)   993682.3 
   280     3    3P1 6G1             (1)3( 3.0)   993919.4 
   281     3    3P1 6F1             (1)4( 4.0)   994121.8 
   282     3    3P1 6F1             (1)2( 2.0)   994304.8 
   283     4    3D1 4F1             (3)4( 3.0)   995236.7 
   284     5    3D1 4F1             (3)4( 4.0)   995299.1 
   285     5    3D1 4F1             (3)4( 5.0)   995375.0 
   286     5    3D1 4D1             (1)0( 0.0)   997133.6 
   287     4    3D1 4F1             (3)2( 1.0)   997851.0 
   288     5    3D1 4F1             (3)2( 2.0)   997857.2 
   289     5    3D1 4F1             (3)2( 3.0)   997869.0 
   290     5    3D1 4F1             (3)1( 2.0)   999436.9 
   291     5    3D1 4F1             (3)1( 1.0)   999498.3 
   292     5    3D1 4F1             (3)1( 0.0)   999528.8 
   293     5    3D1 4F1             (1)3( 3.0)  1001066.6 
   294     2    3P1 7S1             (3)1( 0.0)  1007290.4*     2.88E+13
   295     2    3P1 7S1             (3)1( 1.0)  1007462.2*     5.72E+13
   296     3    3P1 7S1             (3)1( 2.0)  1009466.0*     2.83E+13  0.00E+00
   297     3    3P1 7S1             (1)1( 1.0)  1009916.3*     1.25E+14  0.00E+00
   298     2    3P1 7P1             (3)2( 1.0)  1014308.5*     3.84E+13
   299     2    3P1 7P1             (3)1( 1.0)  1014870.7*     2.57E+13
   300     2    3P1 7P1             (3)2( 2.0)  1014984.8*     6.29E+13
   301     2    3P1 7P1             (3)1( 0.0)  1015300.7*     1.16E+13
   302     3    3P1 7P1             (1)1( 1.0)  1016503.0*     1.49E+13  0.00E+00
   303     3    3P1 7P1             (3)2( 3.0)  1016771.6*     6.47E+13  0.00E+00
   304     3    3P1 7P1             (3)1( 2.0)  1016969.6*     1.63E+13  0.00E+00
   305     3    3P1 7P1             (3)0( 1.0)  1017512.7*     5.24E+13  0.00E+00
   306     3    3P1 7P1             (1)2( 2.0)  1017953.7*     1.10E+14  0.00E+00
   307     3    3P1 7P1             (1)0( 0.0)  1019655.6*     1.62E+14  0.00E+00
   308     2    3P1 7D1             (1)2( 2.0)  1025262.7*     6.04E+12
   309     2    3P1 7D1             (3)2( 2.0)  1025356.9*     9.03E+12
   310     2    3P1 7D1             (3)2( 1.0)  1025456.3*     1.56E+13
   311     2    3P1 7D1             (3)3( 3.0)  1025509.5*     3.44E+12
   312     3    3P1 7D1             (3)3( 2.0)  1027191.4*     1.71E+12  0.00E+00
   313     3    3P1 7D1             (3)2( 3.0)  1027315.1*     1.96E+12  0.00E+00
   314     3    3P1 7D1             (3)3( 4.0)  1027671.1*     4.46E+12  0.00E+00
   315     3    3P1 7D1             (3)1( 2.0)  1027816.4*     3.54E+13  0.00E+00
   316     3    3P1 7D1             (3)1( 1.0)  1027996.1*     4.44E+13  0.00E+00
   317     3    3P1 7D1             (1)3( 3.0)  1028161.3*     8.45E+12  0.00E+00
   318     3    3P1 7D1             (3)1( 0.0)  1028253.9*     4.76E+13  0.00E+00
   319     3    3P1 7D1             (1)1( 1.0)  1028628.4*     7.84E+13  0.00E+00
   320     2    3P1 7F1             (3)4( 3.0)  1029029.3*     5.00E+13
   321     2    3P1 7F1             (3)3( 3.0)  1029368.2*     1.50E+13
